,area,area_sqft,bedrooms,bathrooms,total_price
1493,T Nagar,1984,2.0,1.0,17688256
1494,Karapakkam,888,1.0,1.0,6782425
1495,Chrompet,1100,1.0,1.0,15493170
1496,Chrompet,1294,2.0,1.0,15898573
1497,Velachery,1904,3.0,2.0,10561436
1498,Karapakkam,1045,1.0,1.0,9111963
1499,Karapakkam,1253,1.0,1.0,6374808
1500,KK Nagar,1472,2.0,1.0,13884542
1501,Anna Nagar,1765,1.0,1.0,21097807
1502,T Nagar,1634,1.0,1.0,14045342
1503,KK Nagar,1823,3.0,2.0,17030127
1504,KK Nagar,2404,4.0,2.0,14310551
1505,Chrompet,985,1.0,1.0,9965961
1506,Chrompet,826,1.0,1.0,9432893
1507,Chrompet,705,1.0,1.0,7803024
1508,Chrompet,987,1.0,1.0,7653157
1509,KK Nagar,1625,2.0,1.0,10723199
1510,Velachery,1729,2.0,1.0,7927303
1511,Anna Nagar,1791,1.0,1.0,21165663
1512,Chrompet,1019,1.0,1.0,10718095
1513,Chrompet,1212,2.0,1.0,12890911
1514,Adyar,1234,2.0,2.0,7734095
1515,Karapakkam,850,1.0,1.0,3746961
1516,Adyar,662,1.0,1.0,9140092
1517,Karapakkam,1555,2.0,2.0,9182775
1518,Anna Nagar,1711,1.0,1.0,11664671
1519,Chrompet,1064,1.0,1.0,13678974
1520,Chrompet,816,1.0,1.0,8507545
1521,Adyar,1252,2.0,2.0,8939210
1522,Velachery,1917,3.0,2.0,8380668
1523,Chrompet,1013,1.0,1.0,10858827
1524,Chrompet,1080,1.0,1.0,8693459
1525,Karapakkam,627,1.0,1.0,6629917
1526,Chrompet,1058,1.0,1.0,12648341
1527,Chrompet,951,1.0,1.0,12109447
1528,Anna Nagar,1823,2.0,1.0,14082423
1529,Karapakkam,575,1.0,1.0,4150161
1530,Chrompet,737,1.0,1.0,9880945
1531,Adyar,706,1.0,1.0,5256862
1532,Karapakkam,1109,1.0,1.0,5512625
1533,Chrompet,1211,2.0,1.0,9479406
1534,Karapakkam,1450,2.0,2.0,7289884
1535,Adyar,1277,2.0,2.0,14286636
1536,T Nagar,1568,1.0,1.0,13276587
1537,Adyar,995,1.0,1.0,12610177
1538,Karapakkam,1304,1.0,1.0,7171841
1539,Karapakkam,561,1.0,1.0,5018902
1540,Karapakkam,831,1.0,1.0,6454329
1541,Anna Nagar,1811,2.0,1.0,14158522
1542,KK Nagar,1563,2.0,1.0,14490669
1543,Chrompet,1107,1.0,1.0,13680923
1545,T Nagar,1512,1.0,1.0,19216896
1546,Chrompet,1061,1.0,1.0,10862481
1547,Velachery,1851,3.0,2.0,11702009
1548,Anna Nagar,1655,1.0,1.0,21389508
1549,Karapakkam,895,1.0,1.0,5655001
1550,Karapakkam,1192,1.0,1.0,9164795
1551,Velachery,1670,2.0,1.0,8457136
1552,Anna Nagar,1532,1.0,1.0,11764654
1553,Velachery,1896,3.0,2.0,10407453
1554,Karapakkam,1296,1.0,1.0,6896799
1555,KK Nagar,2045,3.0,2.0,17923824
1556,Adyar,722,1.0,1.0,5523373
1557,Adyar,637,1.0,1.0,11010621
1558,Velachery,1519,2.0,1.0,13202357
1559,Karapakkam,1107,1.0,1.0,4729720
1560,Anna Nagar,1788,1.0,1.0,14274314
1561,Karapakkam,923,1.0,1.0,7684700
1562,Chrompet,1261,2.0,1.0,10245129
1563,T Nagar,1773,1.0,1.0,14792212
1564,Chrompet,1104,1.0,1.0,10145832
1565,Chrompet,883,1.0,1.0,8100385
1566,Karapakkam,1639,2.0,2.0,9259687
1567,Karapakkam,910,1.0,1.0,5916504
1568,Karapakkam,1572,2.0,2.0,7171086
1569,KK Nagar,1854,3.0,2.0,11615891
1570,Karapakkam,1219,1.0,1.0,6312395
1571,Adyar,1033,1.0,1.0,8328699
1572,Adyar,861,1.0,1.0,7920906
1573,Chrompet,963,1.0,1.0,8269704
1574,Velachery,1537,2.0,1.0,7864225
1575,Karapakkam,1579,2.0,2.0,9782645
1576,T Nagar,1925,2.0,1.0,13208562
1577,Karapakkam,1584,2.0,2.0,11187937
1578,T Nagar,1829,2.0,1.0,14968971
1579,Velachery,1761,2.0,1.0,11905605
1580,Karapakkam,1204,1.0,1.0,7869576
1581,Chrompet,1165,1.0,1.0,8556885
1582,Chrompet,1109,1.0,1.0,8984031
1584,T Nagar,1600,1.0,1.0,12823776
1585,Karapakkam,1170,1.0,1.0,8871786
1586,Chrompet,1288,2.0,1.0,9319205
1587,Anna Nagar,1598,1.0,1.0,13879585
1588,Chrompet,722,1.0,1.0,6695561
1589,Chrompet,798,1.0,1.0,6752083
1590,Karapakkam,933,1.0,1.0,9234720
1591,Chrompet,1086,1.0,1.0,14638759
1592,KK Nagar,1952,3.0,2.0,10299785
1593,Chrompet,1052,1.0,1.0,8115506
1594,Velachery,1786,2.0,1.0,14773284
1595,Karapakkam,1652,2.0,2.0,7344182
1596,Karapakkam,1607,2.0,2.0,6551068
1597,Chrompet,1229,2.0,1.0,8248935
1598,T Nagar,1902,2.0,1.0,20989259
1599,Velachery,1677,2.0,1.0,13266662
1601,Adyar,655,1.0,1.0,8225776
1602,Chrompet,947,1.0,1.0,12378116
1603,Velachery,1882,3.0,2.0,13046977
1604,Chrompet,963,1.0,1.0,8590816
1605,Chrompet,1055,1.0,1.0,12600036
1606,Karapakkam,1390,2.0,2.0,6338514
1607,Velachery,1599,2.0,1.0,8341111
1608,Karapakkam,1591,2.0,2.0,9274505
1609,Karapakkam,1265,1.0,1.0,10518323
1610,Adyar,870,1.0,1.0,11566561
1611,Adyar,1122,1.0,1.0,8908662
1612,Adyar,613,1.0,1.0,7018261
1613,Velachery,1670,2.0,1.0,8544753
1614,KK Nagar,1338,2.0,1.0,13489329
1615,KK Nagar,1319,1.0,1.0,8288560
1616,KK Nagar,1710,2.0,1.0,11570960
1617,Anna Nagar,1938,2.0,1.0,12262465
1618,Karapakkam,1058,1.0,1.0,8807926
1619,Chrompet,1251,2.0,1.0,14823684
1620,Anna Nagar,1710,1.0,1.0,19251579
1621,Adyar,617,1.0,1.0,5158919
1622,Adyar,916,1.0,1.0,6436507
1623,Chrompet,1027,1.0,1.0,7939692
1624,Adyar,1223,2.0,2.0,7173348
1625,KK Nagar,1422,2.0,1.0,14777014
1626,Chrompet,1081,1.0,1.0,12778313
1627,Velachery,1603,2.0,1.0,14821885
1628,Anna Nagar,1762,1.0,1.0,15343296
1629,Adyar,1219,2.0,2.0,7740672
1630,KK Nagar,1953,3.0,2.0,10988631
1631,Karapakkam,1208,1.0,1.0,6658371
1632,Karapakkam,849,1.0,1.0,6672577
1633,Karapakkam,522,1.0,1.0,4676868
1634,Karapakkam,1610,2.0,2.0,13271466
1635,KK Nagar,1945,3.0,2.0,11452025
1636,Adyar,884,1.0,1.0,9822251
1637,Karapakkam,668,1.0,1.0,5515056
1638,Karapakkam,740,1.0,1.0,5589414
1639,Adyar,1158,1.0,1.0,10864389
1640,Velachery,1840,3.0,2.0,16469708
1641,Chrompet,829,1.0,1.0,9602227
1642,Anna Nagar,1650,1.0,1.0,17902321
1643,Anna Nagar,1663,1.0,1.0,13435821
1644,Velachery,1913,3.0,2.0,7417409
1645,Velachery,1963,3.0,2.0,9077466
1646,T Nagar,1806,2.0,1.0,15180436
1647,Velachery,1630,2.0,1.0,7658013
1648,Karapakkam,1016,1.0,1.0,4724281
1649,T Nagar,1823,2.0,1.0,21205186
1650,Chrompet,1185,1.0,1.0,12870821
1651,Karapakkam,1478,2.0,2.0,4703982
1652,Chrompet,875,1.0,1.0,8844850
1653,KK Nagar,2087,3.0,2.0,12176545
1654,Anna Nagar,1970,2.0,1.0,14155716
1655,Velachery,1645,2.0,1.0,14574868
1657,Velachery,1782,2.0,1.0,16920278
1658,Karapakkam,1465,2.0,2.0,6780820
1659,KK Nagar,2439,4.0,2.0,11597868
1660,KK Nagar,1693,2.0,1.0,12026107
1661,Anna Nagar,1737,1.0,1.0,13228220
1662,Karapakkam,1111,1.0,1.0,9045550
1663,KK Nagar,2485,4.0,2.0,20104225
1664,Velachery,1568,2.0,1.0,13048869
1665,Karapakkam,512,1.0,1.0,5454280
1666,Chrompet,958,1.0,1.0,11170813
1667,T Nagar,1565,1.0,1.0,20728326
1668,KK Nagar,1706,2.0,1.0,15307348
1669,Velachery,1616,2.0,1.0,10548397
1670,Anna Nagar,1531,1.0,1.0,18302135
1671,Anna Nagar,1636,1.0,1.0,14116459
1672,KK Nagar,1997,3.0,2.0,17441201
1673,Chrompet,915,1.0,1.0,8417966
1674,Adyar,1046,1.0,1.0,11298231
1675,KK Nagar,1465,2.0,1.0,10838256
1676,KK Nagar,1399,2.0,1.0,11230107
1677,Chrompet,1126,1.0,1.0,9255794
1678,Karapakkam,1368,2.0,2.0,7194785
1679,Chrompet,709,1.0,1.0,6654100
1680,T Nagar,1550,1.0,1.0,11653582
1681,Velachery,1882,3.0,2.0,14951181
1682,Anna Nagar,1538,1.0,1.0,11697559
1683,Velachery,1881,3.0,2.0,15322029
1684,Adyar,641,1.0,1.0,10385561
1685,Anna Nagar,1912,2.0,1.0,12797609
1686,Chrompet,1194,1.0,1.0,14258363
1687,Karapakkam,1502,2.0,2.0,9953243
1688,Anna Nagar,1649,1.0,1.0,19499386
1689,Karapakkam,854,1.0,1.0,7960838
1690,KK Nagar,2388,4.0,2.0,12855536
1691,Karapakkam,1381,2.0,2.0,8675704
1692,Chrompet,838,1.0,1.0,12792083
1693,KK Nagar,1684,2.0,1.0,15969505
1694,Anna Nagar,1740,1.0,1.0,14394465
1695,T Nagar,1918,2.0,1.0,21701916
1696,Karapakkam,669,1.0,1.0,5406512
1697,Chrompet,965,1.0,1.0,10039188
1698,Velachery,1899,3.0,2.0,8804480
1699,Velachery,1553,2.0,1.0,7070920
1700,Karapakkam,976,1.0,1.0,7323021
1701,Anna Nagar,1628,1.0,1.0,13296779
1702,Chrompet,894,1.0,1.0,9427447
1703,Anna Nagar,1734,1.0,1.0,11106440
1704,Karapakkam,662,1.0,1.0,5433719
1705,Adyar,994,1.0,1.0,11322449
1706,Chrompet,1033,1.0,1.0,12140677
1707,Karapakkam,1462,2.0,2.0,4671167
1708,Anna Nagar,1662,1.0,1.0,20047647
1709,KK Nagar,1865,3.0,2.0,10401625
1710,Karapakkam,1042,1.0,1.0,5554839
1711,Chrompet,828,1.0,1.0,7908054
1712,Chrompet,850,1.0,1.0,7422948
1713,Karapakkam,1562,2.0,2.0,12097335
1714,KK Nagar,1425,2.0,1.0,10289253
1715,Anna Nagar,1813,2.0,1.0,12828260
1716,Velachery,1973,3.0,2.0,9438007
1717,Anna Nagar,1558,1.0,1.0,11394690
1718,Velachery,1702,2.0,1.0,10739001
1719,T Nagar,1781,1.0,1.0,18695329
1720,T Nagar,1538,1.0,1.0,18601288
1721,Velachery,1906,3.0,2.0,17383027
1722,Anna Nagar,1782,1.0,1.0,15699312
1723,Adyar,848,1.0,1.0,11958857
1724,Chrompet,737,1.0,1.0,10615314
1725,T Nagar,1512,1.0,1.0,14451965
1726,KK Nagar,1956,3.0,2.0,12113225
1727,KK Nagar,1402,2.0,1.0,13818372
1728,Chrompet,779,1.0,1.0,7877824
1729,Anna Nagar,1625,1.0,1.0,12484290
1730,Anna Nagar,1724,1.0,1.0,12942079
1731,KK Nagar,2277,4.0,2.0,13949425
1732,T Nagar,1692,1.0,1.0,14271386
1733,Chrompet,1184,1.0,1.0,14456658
1734,Karapakkam,657,1.0,1.0,3829713
1735,Chrompet,942,1.0,1.0,8084979
1736,Velachery,1535,2.0,1.0,14780324
1737,Chrompet,966,1.0,1.0,13747892
1738,Karapakkam,1294,1.0,1.0,9655431
1739,KK Nagar,2042,3.0,2.0,12500188
1740,Adyar,1110,1.0,1.0,8997674
1741,Chrompet,819,1.0,1.0,8538495
1742,Chrompet,1132,1.0,1.0,14175830
1743,Adyar,900,1.0,1.0,10472807
1744,KK Nagar,2486,4.0,2.0,21028331
1745,Karapakkam,896,1.0,1.0,7056417
1746,Velachery,1749,2.0,1.0,16281150
1747,Chrompet,1252,2.0,1.0,15617768
1748,Chrompet,1234,2.0,1.0,14222993
1749,KK Nagar,2306,4.0,2.0,11885244
1750,Chrompet,814,1.0,1.0,9299913
1751,Chrompet,878,1.0,1.0,9596153
1752,Chrompet,1053,1.0,1.0,13785749
1753,T Nagar,1809,2.0,1.0,20936063
1754,Anna Nagar,1871,2.0,1.0,15485485
1755,Chrompet,802,1.0,1.0,10178620
1756,Chrompet,1191,1.0,1.0,10220553
1757,Adyar,1025,1.0,1.0,11201449
1758,KK Nagar,1392,2.0,1.0,12937537
1759,KK Nagar,2499,4.0,2.0,14268785
1760,Karapakkam,1290,1.0,1.0,9152927
1761,Anna Nagar,1760,1.0,1.0,21445053
1762,Chrompet,1279,2.0,1.0,10246333
1763,Chrompet,816,1.0,1.0,10478481
1764,T Nagar,1904,2.0,1.0,21838769
1765,KK Nagar,1502,2.0,1.0,13207340
1766,Chrompet,922,1.0,1.0,8954122
1767,T Nagar,1781,1.0,1.0,21647281
1768,Adyar,645,1.0,1.0,9162806
1769,Chrompet,1142,1.0,1.0,13319592
1770,T Nagar,1674,1.0,1.0,10878586
1771,Adyar,781,1.0,1.0,11749142
1772,Adyar,1274,2.0,2.0,9764463
1773,Karapakkam,687,1.0,1.0,6227048
1774,T Nagar,1886,2.0,1.0,15390057
1775,T Nagar,1598,1.0,1.0,20664882
1776,Karapakkam,593,1.0,1.0,6739694
1777,Anna Nagar,1815,2.0,1.0,20527595
1778,Karapakkam,1121,1.0,1.0,6129883
1779,Chrompet,1182,1.0,1.0,10511955
1780,Anna Nagar,1864,2.0,1.0,13523837
1781,KK Nagar,2125,3.0,2.0,17655954
1782,Chrompet,955,1.0,1.0,10036011
1783,Velachery,1625,2.0,1.0,14459763
1784,Chrompet,864,1.0,1.0,13046359
1785,Chrompet,1183,1.0,1.0,10893027
1786,Karapakkam,938,1.0,1.0,5213611
1787,Karapakkam,1040,1.0,1.0,8086933
1788,Chrompet,849,1.0,1.0,12023419
1789,Karapakkam,914,1.0,1.0,7049152
1790,Karapakkam,1156,1.0,1.0,9520407
1791,Chrompet,830,1.0,1.0,11380075
1792,KK Nagar,1655,2.0,1.0,10286542
1793,KK Nagar,1693,2.0,1.0,10683238
1794,Chrompet,1014,1.0,1.0,13628408
1795,Chrompet,1148,1.0,1.0,8449062
1796,KK Nagar,2453,4.0,2.0,14539053
1797,KK Nagar,2167,3.0,2.0,13088624
1798,Karapakkam,1404,2.0,2.0,9612972
1799,T Nagar,1545,1.0,1.0,14686266
1800,Velachery,1634,2.0,1.0,8627684
1801,Chrompet,1268,2.0,1.0,11498834
1802,KK Nagar,1682,2.0,1.0,12814401
1803,Velachery,1787,2.0,1.0,10093268
1804,Karapakkam,1337,2.0,2.0,8533703
1805,Adyar,695,1.0,1.0,6370788
1806,Anna Nagar,1930,2.0,1.0,13661576
1807,Chrompet,1042,1.0,1.0,11036025
1808,T Nagar,1613,1.0,1.0,18292573
1809,Karapakkam,1270,1.0,1.0,9544431
1810,Chrompet,997,1.0,1.0,12586672
1811,Chrompet,726,1.0,1.0,6481631
1812,Velachery,1853,3.0,2.0,10498634
1813,Velachery,1591,2.0,1.0,8821645
1814,Anna Nagar,1980,2.0,1.0,15049429
1815,KK Nagar,2226,4.0,2.0,12358954
1816,Adyar,808,1.0,1.0,12522641
1817,Karapakkam,1376,2.0,2.0,8591565
1818,T Nagar,1868,2.0,1.0,21155324
1819,Karapakkam,1311,1.0,1.0,6878459
1820,Adyar,805,1.0,1.0,9291782
1821,Chrompet,706,1.0,1.0,8108272
1822,Karapakkam,1464,2.0,2.0,6580115
1823,Adyar,648,1.0,1.0,10841050
1824,Velachery,1917,3.0,2.0,11580189
1825,Adyar,1018,1.0,1.0,9692412
1826,Anna Nagar,1694,1.0,1.0,19609460
1827,Chrompet,1112,1.0,1.0,13924924
1828,Karapakkam,950,1.0,1.0,6812501
1829,Adyar,1282,2.0,2.0,11371537
1830,Velachery,1639,2.0,1.0,7395749
1831,KK Nagar,1501,2.0,1.0,11258490
1832,Chrompet,765,1.0,1.0,5977954
1833,Anna Nagar,1765,1.0,1.0,14434305
1834,Karapakkam,1518,2.0,2.0,7032402
1835,KK Nagar,2417,4.0,2.0,11996490
1836,Karapakkam,1070,1.0,1.0,5389929
1837,T Nagar,1784,1.0,1.0,15486440
1838,Chrompet,1188,1.0,1.0,10160018
1839,Karapakkam,1494,2.0,2.0,8695656
1840,T Nagar,1810,2.0,1.0,21504447
1841,Karapakkam,738,1.0,1.0,7159347
1842,KK Nagar,1564,2.0,1.0,10620522
1843,Karapakkam,1211,1.0,1.0,9006795
1844,Velachery,1662,2.0,1.0,14013404
1845,Velachery,1530,2.0,1.0,11437144
1846,Adyar,909,1.0,1.0,8626392
1847,Adyar,690,1.0,1.0,7740767
1848,Chrompet,780,1.0,1.0,7335340
1849,Chrompet,1195,1.0,1.0,10578078
1850,Karapakkam,1428,2.0,2.0,13865886
1851,Adyar,746,1.0,1.0,6665490
1852,Adyar,921,1.0,1.0,7465380
1853,Adyar,607,1.0,1.0,5641494
1854,Adyar,712,1.0,1.0,7229234
1855,KK Nagar,2312,4.0,2.0,13235999
1856,Velachery,1809,3.0,2.0,11911829
1857,T Nagar,1872,2.0,1.0,15297254
1858,KK Nagar,2286,4.0,2.0,14301130
1859,Karapakkam,1648,2.0,2.0,5632840
1860,Anna Nagar,1522,1.0,1.0,12256402
1861,Chrompet,919,1.0,1.0,12571010
1862,T Nagar,1858,2.0,1.0,13254237
1863,Chrompet,1082,1.0,1.0,13436184
1864,Karapakkam,1338,2.0,2.0,7761373
1865,Karapakkam,1559,2.0,2.0,6007705
1866,Karapakkam,860,1.0,1.0,6402792
1867,Velachery,1769,2.0,1.0,10204281
1868,Chrompet,1197,1.0,1.0,9542020
1869,Velachery,1971,3.0,2.0,16337696
1870,Velachery,1966,3.0,2.0,10167622
1871,KK Nagar,2176,3.0,2.0,12410049
1872,Karapakkam,1519,2.0,2.0,6061409
1873,KK Nagar,1892,3.0,2.0,12056929
1874,Chrompet,786,1.0,1.0,7225137
1875,Chrompet,942,1.0,1.0,10315242
1876,Karapakkam,1344,2.0,2.0,8074057
1877,Karapakkam,943,1.0,1.0,7450129
1878,Chrompet,1098,1.0,1.0,9204307
1879,Karapakkam,1190,1.0,1.0,6844237
1880,Velachery,1590,2.0,1.0,10138356
1881,Karapakkam,1040,1.0,1.0,10064484
1882,KK Nagar,1524,2.0,1.0,10543401
1883,Chrompet,1132,1.0,1.0,8657697
1884,Anna Nagar,1699,1.0,1.0,20416501
1885,Chrompet,1204,2.0,1.0,10601304
1886,Adyar,1003,1.0,1.0,14216850
1887,Anna Nagar,1610,1.0,1.0,13007770
1888,Velachery,1869,3.0,2.0,8470287
1889,Anna Nagar,1676,1.0,1.0,21195423
1890,Adyar,929,1.0,1.0,9865134
1891,Karapakkam,1265,1.0,1.0,9625480
1892,T Nagar,1585,1.0,1.0,18451535
1893,Chrompet,729,1.0,1.0,10215374
1894,T Nagar,1882,2.0,1.0,12639654
1895,Adyar,912,1.0,1.0,9789701
1896,KK Nagar,2147,3.0,2.0,18297297
1897,Chrompet,898,1.0,1.0,13294004
1898,Velachery,1979,3.0,2.0,16668076
1899,Karapakkam,1398,2.0,2.0,7830299
1900,Karapakkam,942,1.0,1.0,6236910
1901,Karapakkam,1504,2.0,2.0,8324344
1902,Chrompet,821,1.0,1.0,9073476
1903,Adyar,1045,1.0,1.0,11692354
1904,Chrompet,1149,1.0,1.0,8609596
1905,Anna Nagar,1666,1.0,1.0,13569002
1906,Karapakkam,1210,1.0,1.0,8699913
1907,Velachery,1523,2.0,1.0,8539102
1908,Chrompet,891,1.0,1.0,11122673
1909,T Nagar,1955,2.0,1.0,23127868
1910,Chrompet,1191,1.0,1.0,11103841
1911,KK Nagar,1641,2.0,1.0,10120902
1912,Chrompet,740,1.0,1.0,7834046
1913,Velachery,1588,2.0,1.0,11988878
1914,Karapakkam,1272,1.0,1.0,7966464
1915,Chrompet,879,1.0,1.0,12591432
1916,Chrompet,1228,2.0,1.0,10383314
1917,Karapakkam,946,1.0,1.0,8365896
1918,Karapakkam,867,1.0,1.0,8068122
1919,Velachery,1932,3.0,2.0,8089366
1920,Velachery,1617,2.0,1.0,13600404
1921,KK Nagar,2179,3.0,2.0,19391563
1922,Karapakkam,1040,1.0,1.0,4704016
1923,Karapakkam,950,1.0,1.0,8506208
1924,Karapakkam,1354,2.0,2.0,5464781
1925,Velachery,1739,2.0,1.0,12328430
1926,Adyar,935,1.0,1.0,12181249
1927,Karapakkam,1484,2.0,2.0,7157451
1928,KK Nagar,2182,3.0,2.0,12587005
1929,Anna Nagar,1711,1.0,1.0,12053968
1930,Chrompet,886,1.0,1.0,7221179
1931,Velachery,1760,2.0,1.0,17314320
1932,Chrompet,1283,2.0,1.0,9933380
1933,Karapakkam,1155,1.0,1.0,6480515
1934,Karapakkam,752,1.0,1.0,6085999
1935,KK Nagar,1888,3.0,2.0,12443355
1936,Chrompet,1211,2.0,1.0,13739121
1937,Karapakkam,1248,1.0,1.0,6024314
1938,KK Nagar,1892,3.0,2.0,18121333
1939,Adyar,1030,1.0,1.0,5978791
1940,Chrompet,1254,2.0,1.0,9422762
1941,KK Nagar,1762,2.0,1.0,15775481
1942,Karapakkam,1622,2.0,2.0,11894719
1943,Chrompet,951,1.0,1.0,11636435
1944,Anna Nagar,1981,2.0,1.0,21752736
1945,Karapakkam,1628,2.0,2.0,6368746
1946,Chrompet,797,1.0,1.0,7407136
1947,Karapakkam,1587,2.0,2.0,12011688
1948,Chrompet,1081,1.0,1.0,11703795
1949,Anna Nagar,1895,2.0,1.0,15205620
1950,Chrompet,973,1.0,1.0,12599883
1951,Chrompet,844,1.0,1.0,9645631
1952,Chrompet,965,1.0,1.0,6881714
1953,Velachery,1742,2.0,1.0,8940971
1954,KK Nagar,1304,1.0,1.0,11426779
1955,T Nagar,1510,1.0,1.0,11804418
1956,T Nagar,1888,2.0,1.0,22254683
1957,Anna Nagar,1540,1.0,1.0,19985271
1958,Karapakkam,1023,1.0,1.0,7741688
1959,Karapakkam,798,1.0,1.0,7926865
1960,Anna Nagar,1624,1.0,1.0,13636195
1961,KK Nagar,1612,2.0,1.0,9124325
1962,T Nagar,1723,1.0,1.0,14786271
1963,Chrompet,950,1.0,1.0,12371927
1964,T Nagar,1919,2.0,1.0,21336784
1965,T Nagar,1528,1.0,1.0,14870813
1966,Karapakkam,1081,1.0,1.0,6332307
1967,Chrompet,1002,1.0,1.0,10600600
1968,Chrompet,937,1.0,1.0,9416762
1969,KK Nagar,2372,4.0,2.0,14668252
1970,Chrompet,1237,2.0,1.0,13851220
1971,Chrompet,1242,2.0,1.0,14480622
1972,Velachery,1700,2.0,1.0,7685278
1973,KK Nagar,2422,4.0,2.0,13172078
1974,Chrompet,801,1.0,1.0,7636400
1975,Velachery,1503,2.0,1.0,11264761
1976,Anna Nagar,1549,1.0,1.0,19365866
1977,Adyar,606,1.0,1.0,8983975
1978,Chrompet,1277,2.0,1.0,10535804
1979,Chrompet,791,1.0,1.0,9915629
1980,T Nagar,1878,2.0,1.0,21605484
1981,Karapakkam,806,1.0,1.0,7600131
1982,T Nagar,1543,1.0,1.0,19884934
1983,KK Nagar,1363,2.0,1.0,13250888
1984,T Nagar,1584,1.0,1.0,11575456
1985,Anna Nagar,1794,1.0,1.0,22050304
1986,Karapakkam,704,1.0,1.0,7376465
1987,Anna Nagar,1531,1.0,1.0,12144984
1988,Chrompet,1003,1.0,1.0,10188790
1989,Chrompet,1010,1.0,1.0,10144374
1990,Anna Nagar,1794,1.0,1.0,13147122
1991,KK Nagar,1756,2.0,1.0,11215494
1992,Adyar,1188,1.0,1.0,14650932
1993,Chrompet,1164,1.0,1.0,13452964
1994,T Nagar,1851,2.0,1.0,14246669
1995,Chrompet,1176,1.0,1.0,11371032
1996,KK Nagar,1503,2.0,1.0,12154686
1997,Karapakkam,1621,2.0,2.0,9515109
1998,Karapakkam,883,1.0,1.0,5366406
1999,Chrompet,1257,2.0,1.0,9861228
2000,Karapakkam,552,1.0,1.0,5177962
2001,Anna Nagar,1803,2.0,1.0,13682577
2002,Karapakkam,721,1.0,1.0,6821085
2003,Velachery,1573,2.0,1.0,8895355
2004,Chrompet,723,1.0,1.0,9118305
2005,Chrompet,1148,1.0,1.0,10791971
2006,KK Nagar,1513,2.0,1.0,10096774
2007,Chrompet,951,1.0,1.0,8145861
2008,KK Nagar,2449,4.0,2.0,12833506
2010,Karapakkam,1058,1.0,1.0,7392850
2011,Karapakkam,1438,2.0,2.0,6863303
2012,Karapakkam,1616,2.0,2.0,6237298
2013,Adyar,632,1.0,1.0,12293986
2014,Chrompet,953,1.0,1.0,9144343
2015,KK Nagar,1714,2.0,1.0,9830213
2016,KK Nagar,1334,2.0,1.0,12416220
2017,Anna Nagar,1770,1.0,1.0,20797424
2018,Karapakkam,1098,1.0,1.0,6904620
2019,Chrompet,1010,1.0,1.0,9594059
2020,Karapakkam,1195,1.0,1.0,11302889
2021,Adyar,624,1.0,1.0,5544718
2022,Chrompet,1272,2.0,1.0,10310984
2023,KK Nagar,1324,1.0,1.0,9725471
2024,KK Nagar,2424,4.0,2.0,19849400
2025,KK Nagar,1438,2.0,1.0,14156869
2026,Adyar,701,1.0,1.0,12211930
2027,Chrompet,1236,2.0,1.0,11780065
2028,Velachery,1744,2.0,1.0,7976987
2029,Chrompet,1078,1.0,1.0,8657382
2030,Chrompet,901,1.0,1.0,9908918
2031,Velachery,1669,2.0,1.0,14462271
2032,Adyar,1073,1.0,1.0,9975828
2033,Karapakkam,1273,1.0,1.0,11599352
2034,Adyar,1235,2.0,2.0,13618717
2035,Karapakkam,1400,2.0,2.0,6617062
2036,Anna Nagar,1598,1.0,1.0,11839786
2037,Anna Nagar,1819,2.0,1.0,14464934
2038,Adyar,902,1.0,1.0,12606234
2039,Adyar,795,1.0,1.0,10352290
2040,KK Nagar,1763,2.0,1.0,16080373
2041,Velachery,1848,3.0,2.0,15124407
2042,Chrompet,1288,2.0,1.0,16395991
2043,Velachery,1615,2.0,1.0,10772656
2044,Chrompet,1026,1.0,1.0,14454389
2045,Velachery,1598,2.0,1.0,12303147
2046,Velachery,1896,3.0,2.0,9753433
2047,KK Nagar,2276,4.0,2.0,13949167
2048,KK Nagar,2407,4.0,2.0,18074446
2049,Chrompet,1083,1.0,1.0,10032214
2050,Chrompet,728,1.0,1.0,7928764
2051,T Nagar,1894,2.0,1.0,12432434
2052,Anna Nagar,1595,1.0,1.0,12217102
2053,Chrompet,1274,2.0,1.0,14967120
2054,Anna Nagar,1760,1.0,1.0,12813170
2055,Adyar,969,1.0,1.0,11636986
2056,Velachery,1652,2.0,1.0,9908766
2057,Karapakkam,1211,1.0,1.0,7813504
2058,Chrompet,958,1.0,1.0,13403663
2059,Chrompet,818,1.0,1.0,8308463
2060,Adyar,958,1.0,1.0,11693032
2061,Chrompet,1091,1.0,1.0,15519392
2062,Chrompet,1066,1.0,1.0,9964765
2063,KK Nagar,2371,4.0,2.0,11143521
2064,Karapakkam,1451,2.0,2.0,11103500
2065,Anna Nagar,1985,2.0,1.0,22892240
2066,Velachery,1853,3.0,2.0,17262015
2067,Velachery,1841,3.0,2.0,10364728
2068,Anna Nagar,1767,1.0,1.0,21408638
2069,Chrompet,1147,1.0,1.0,9707480
2070,Chrompet,1232,2.0,1.0,8923036
2071,Chrompet,1264,2.0,1.0,10676047
2072,Karapakkam,898,1.0,1.0,10093935
2073,Chrompet,743,1.0,1.0,8275012
2074,Chrompet,1064,1.0,1.0,10334256
2075,Chrompet,980,1.0,1.0,10426295
2076,Anna Nagar,1780,1.0,1.0,20334958
2077,KK Nagar,1665,2.0,1.0,12609090
